id,home_team_api_id,away_team_api_id,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1783,8549,8559,489176,8549,8559,1,3,22978.0,33754.0,24166.0,24167.0,24161.0,24753.0,33128.0,24393.0,30892.0,35608.0,42183.0,23932.0,26454.0,23783.0,24336.0,23785.0,23934.0,23784.0,35532.0,23933.0,24372.0,34261.0
1784,8456,9825,489177,8456,9825,3,0,31432.0,30509.0,24208.0,24211.0,33963.0,30367.0,24213.0,39027.0,30340.0,33974.0,25342.0,23686.0,105826.0,30986.0,30616.0,31291.0,26181.0,39297.0,23678.0,27277.0,30843.0,36410.0
1785,8462,8667,489178,8462,8667,2,2,36286.0,34036.0,26108.0,24216.0,24630.0,25517.0,24653.0,24373.0,40987.0,30830.0,25543.0,23021.0,40132.0,34275.0,26066.0,34430.0,34437.0,23023.0,30595.0,39073.0,23352.0,26143.0
1786,10194,8659,489179,10194,8659,1,0,23794.0,40574.0,40005.0,40695.0,35467.0,22994.0,35636.0,24133.0,25668.0,23288.0,23314.0,36373.0,31731.0,37280.0,26527.0,24728.0,24664.0,38433.0,31088.0,23257.0,40055.0,27267.0
1787,8528,8668,489180,8528,8668,1,0,34421.0,24890.0,24230.0,25005.0,111865.0,35327.0,24528.0,25150.0,97988.0,41877.0,34466.0,31465.0,30371.0,24004.0,23268.0,33086.0,30876.0,39618.0,24006.0,24011.0,30735.0,24160.0
1788,8455,10261,489181,8455,10261,0,0,30859.0,25925.0,31306.0,30627.0,38834.0,30631.0,32345.0,30686.0,30630.0,37804.0,30679.0,24224.0,25518.0,30929.0,26209.0,37475.0,33852.0,40565.0,30360.0,34574.0,37799.0,30619.0
1789,8650,8654,489182,8650,8654,0,0,30660.0,37442.0,30617.0,24134.0,414792.0,24800.0,30618.0,30889.0,37920.0,37139.0,24635.0,36374.0,30687.0,24751.0,23818.0,26348.0,36394.0,24223.0,24747.0,30966.0,33781.0,34543.0
1790,8472,8559,489183,8472,8559,1,4,32562.0,36786.0,24446.0,24408.0,38836.0,38802.0,24411.0,30352.0,17866.0,33418.0,30988.0,23932.0,26454.0,23783.0,24336.0,23785.0,23934.0,23933.0,35532.0,23784.0,24372.0,34261.0
1791,8586,8668,489184,8586,8668,0,1,30455.0,46403.0,38697.0,30354.0,40006.0,30895.0,34182.0,24656.0,23760.0,23949.0,40755.0,31465.0,30371.0,24004.0,23268.0,33086.0,24011.0,24006.0,30876.0,39618.0,36012.0,24160.0
1792,10252,9879,489185,10252,9879,0,0,30380.0,33863.0,43280.0,24658.0,30357.0,23283.0,38609.0,23782.0,38807.0,23264.0,23354.0,30633.0,37266.0,23780.0,26777.0,24781.0,24020.0,30338.0,24843.0,30956.0,31907.0,24741.0
